name,games,goals,assists,cards_yellow,games_against,goals_against,assists_against,cards_yellow_against,gk_saves,gk_saves_against,shots,shots_against,passes,assisted_shots,passes_against,assisted_shots_against,tackles,interceptions,clearances,tackles_against,interceptions_against,clearances_against,fouls,fouled,fouls_against,fouled_against
Arsenal,1.0,1.4369256474519632,1.4435389988358556,0.7734138972809668,1.0,0.4678362573099415,0.46565774155995343,0.9909365558912386,0.4413567633837352,1.0870453616673477,1.24638797919476,0.6164515507609324,1.159621444617512,1.3018652455272173,0.8348883713996371,0.5735312777566298,0.9090909090909091,0.9258084971464806,0.6609767053840724,1.0119225037257824,0.948002536461636,1.1230186741962396,0.9302878896026647,0.9715201578103809,0.9683559362360219,0.9000123289360128
Aston Villa,1.0,1.2030075187969924,1.280558789289872,1.13595166163142,1.0,0.9523809523809523,1.0477299185098952,1.13595166163142,0.9399264405394361,0.9317531671434409,0.9843960701213639,0.8726642265459449,0.9953785810855965,1.0100241086156578,0.8960103634933609,0.9135896459840122,0.8152011922503726,0.7482561826252377,0.7662195982801772,1.0894187779433682,0.963855421686747,0.9638708849387153,0.980252200808946,1.16631734681297,1.1491791577444683,0.9715201578103809
Bournemouth,1.0,0.8688387635756056,0.9080325960419092,0.9546827794561934,1.0,1.1027568922305764,1.0244470314318976,0.9909365558912386,1.0380057212913771,1.021659174499387,1.0383355808129455,1.0152186476594105,0.8183869757208436,1.050628092881614,1.0297693403040165,1.020175104682147,1.0327868852459017,1.1318960050729232,1.0485785792209459,1.1922503725782414,0.8370323398858592,1.0434447795674773,1.2062812276945039,0.9271359881642214,0.9421841541755889,1.2008383676488719
Brentford,1.0,0.9022556390977443,0.8847497089639115,1.0755287009063443,1.0,1.086048454469507,1.1641443538998837,0.9063444108761329,0.9726195341234164,0.8827135267674704,0.9054132151801194,1.0518204584858408,0.8645497586478109,0.842532673518589,1.0532105752869751,1.0582413399314807,1.0089418777943369,1.1984781230183894,1.1589552717705192,0.8047690014903129,0.9289790741915028,1.175640120644292,0.9160123721151558,1.0331648378744915,1.032595764929812,0.9148070521513993
Brighton,1.0,0.835421888053467,0.8381839348079162,1.0876132930513596,1.0,1.0025062656641603,0.9778812572759022,1.1963746223564955,0.8581937065794851,1.2505108295872498,1.0691581583509921,0.8900019264110961,1.2866462069922737,1.0886943281309478,0.8610541358871941,0.8602969166349448,0.9597615499254843,0.9131261889663919,0.7739202977603798,0.9895678092399404,1.1255548509828788,0.9407687864981069,0.9850107066381156,1.119467389964246,1.0968355936236023,0.9838490938232031
Burnley,1.0,0.6683375104427736,0.6984866123399301,0.9305135951661632,1.0,1.2531328320802004,1.2572759022118742,1.0151057401812689,1.3731099305271761,0.8173273395995097,0.8283567713350029,1.1712579464457715,0.9232042523222759,0.8273061794188554,1.0392280842445085,1.2028930338789494,0.9046199701937406,0.8877615726062144,1.0742475774882885,0.9314456035767511,0.9258084971464806,0.8868638901366874,1.020699500356888,0.8704228825052398,0.8779443254817987,1.0405621994821848
Chelsea,1.0,1.2698412698412698,1.1874272409778812,1.3172205438066464,1.0,1.0025062656641603,1.0011641443538999,1.2084592145015105,1.021659174499387,1.0543522680833675,1.0344827586206897,1.0614525139664805,1.201054855574233,1.0633168379647253,0.8475343007983386,1.0531658418982364,0.9880774962742176,0.9448319594166138,1.0075081819931977,1.0953800298062593,1.1857958148383005,0.9086825386639287,1.0611467999048299,1.1120700283565528,1.1087318581965262,1.0602884971027
Crystal Palace,1.0,0.935672514619883,1.0011641443538999,0.8821752265861027,1.0,0.935672514619883,1.071012805587893,0.9425981873111783,0.8009807928075194,0.8990600735594606,0.870737815449817,0.8803698709304566,0.8612597607554657,0.8958254028676564,1.1941150162700678,0.8755234107346783,1.174366616989568,1.0240963855421688,1.1897580696913304,1.11177347242921,0.9543436905516804,0.8919976897901559,1.0873185819652629,1.0528911354950068,1.0492505353319057,1.08248058192578
Everton,1.0,0.6683375104427736,0.3958090803259604,0.9909365558912386,1.0,0.8020050125313283,0.6984866123399301,0.7371601208459214,0.9562729873314262,0.9317531671434409,0.9709111924484685,1.0209978809477942,0.7975160515912795,0.8602969166349448,1.1724215926674173,1.0176373556655247,1.1073025335320417,1.1350665821179455,1.1320028235898094,0.8748137108792846,0.8306911857958148,1.1204517743695053,1.0873185819652629,0.8901491801257552,0.887461337140138,1.094809517938602
Fulham,1.0,0.9022556390977443,0.9313154831199069,1.0151057401812689,1.0,0.9523809523809523,0.8381839348079162,0.7854984894259819,1.0870453616673477,1.0053126277073967,0.961279136967829,0.9921017145058756,1.0403076148029342,0.961806877299835,1.0267363734970107,0.9871843674660576,1.0119225037257824,1.176284083703234,0.9548867355451454,0.8301043219076006,1.0177552314521243,1.0460116793942116,0.913633119200571,0.8975465417334484,0.9160123721151558,0.9197386265565282
Liverpool,1.0,1.3366750208855471,1.3969732246798603,0.8338368580060423,1.0,0.6516290726817042,0.6286379511059371,1.1842900302114803,0.8827135267674704,1.5447486718430732,1.5045270660759007,0.7956077827008283,1.2532321658981438,1.517573911940109,0.8006518308324209,0.7689379520365436,1.0089418777943369,0.9258084971464806,0.7482512994930373,1.0998509687034277,1.1984781230183894,1.3604569081691587,1.1015940994527718,0.9271359881642214,0.9302878896026647,1.1170016027616816
