name,same_team,same_league,gk_saves,games,minutes,goals,assists,cards_yellow,passes,assisted_shots,tackles,interceptions,clearances,fouls,fouled,team,crosses,shots,shots_on_target
Thiago Silva,True,False,0,27,0,0,2,2,2042,5,41,34,111,10,13,0,0,15,0
Enzo Fernandez,True,False,0,18,0,0,2,3,1440,20,45,16,12,11,22,0,0,20,0
Djordje Petrovic,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raheem Sterling,True,False,0,28,0,6,3,4,685,34,18,2,5,21,32,0,0,42,0
Levi Colwill,False,False,0,17,0,0,2,1,1165,7,8,15,37,8,10,0,0,8,0
Marc Cucurella,True,False,0,24,0,0,2,4,1293,11,66,16,48,16,21,0,0,7,0
Malo Gusto,False,False,0,21,0,0,1,1,1437,24,42,28,23,20,24,0,0,7,0
Mykhailo Mudryk,True,False,0,15,657,0,2,1,216,10,11,0,3,8,12,0,0,14,0
Robert Sanchez,False,False,46,23,0,0,0,2,781,0,1,3,9,1,0,0,0,0,0
Benoit Badiashile,True,False,0,11,905,1,0,2,860,3,14,16,34,9,6,0,0,6,0
Joachim Andersen,True,False,0,32,0,1,0,8,1972,12,42,24,188,27,16,0,0,22,0
Tyrick Mitchell,True,False,0,36,0,0,2,5,1607,15,71,42,78,33,10,0,0,6,0
Jordan Ayew,True,False,0,38,0,4,3,5,875,31,66,15,31,48,90,0,0,32,0
Jefferson Lerma,False,False,0,37,0,5,0,7,1611,18,50,47,91,37,33,0,0,35,0
Jean Philippe Mateta,True,False,0,29,770,2,0,3,149,5,7,3,18,16,8,0,0,27,0
Eberechi Eze,True,False,0,38,0,10,4,3,1178,57,42,13,10,27,57,0,0,70,0
Chris Richards,True,False,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Guehi,True,False,0,37,0,1,0,8,2208,10,52,45,134,24,40,0,0,14,0
Joel Ward,True,False,0,28,0,1,0,6,1223,9,50,25,80,29,11,0,0,8,0
Will Hughes,True,False,0,27,842,1,1,4,373,6,29,16,9,19,7,0,0,6,0
Sam Johnstone,True,False,25,9,810,0,0,1,280,0,0,0,5,1,0,0,0,0,0
Dean Henderson,False,False,52,18,0,0,0,2,671,0,0,0,12,1,1,0,0,0,0
Odsonne Edouard,True,False,0,35,0,5,2,3,412,17,25,3,22,28,17,0,0,39,0
Jeffrey Schlupp,True,False,0,34,0,3,1,7,900,18,66,23,38,51,33,0,0,28,0
Daniel Munoz,False,False,0,30,0,7,5,9,2002,28,66,52,58,43,24,0,0,32,0
Jordan Pickford,True,False,123,37,0,0,1,6,1312,2,0,4,15,1,5,0,0,0,0
James Tarkowski,True,False,0,38,0,1,1,6,1633,15,51,51,201,40,23,0,0,32,0
Jarrad Branthwaite,False,False,0,27,0,2,1,2,1295,7,23,36,96,12,5,0,0,18,0
James Garner,True,False,0,16,804,0,1,3,353,7,16,12,13,16,10,0,0,9,0
Dwight McNeil,True,False,0,36,0,7,3,5,987,49,64,31,41,22,21,0,0,46,0
Abdoulaye Doucoure,True,False,0,25,0,5,2,6,548,22,31,13,11,21,4,0,0,20,0
Vitaliy Mykolenko,True,False,0,34,0,0,0,4,1292,19,58,46,99,29,21,0,0,10,0
Ashley Young,False,False,0,29,0,1,0,7,1188,14,50,21,65,24,28,0,0,15,0
Dominic Calvert Lewin,True,True,0,17,0,2,1,3,221,9,4,3,18,22,14,0,0,30,0
Jack Harrison,False,False,0,36,0,5,7,2,1150,53,41,22,25,38,37,0,0,39,0
Idrissa Gana Gueye,True,False,0,33,0,0,1,7,1226,12,97,56,34,43,50,0,0,15,0
Amadou Onana,True,False,0,33,0,1,2,9,980,22,72,37,39,44,49,0,0,34,0
Ben Godfrey,True,False,0,13,802,0,1,2,281,3,20,8,33,10,5,0,0,6,0
Nathan Patterson,True,False,0,19,0,0,0,3,649,6,49,15,45,14,13,0,0,8,0
Beto,False,False,0,33,0,10,1,2,299,23,16,6,30,36,26,0,0,60,0
Bernd Leno,True,False,142,36,0,0,0,3,1397,1,0,0,18,1,3,0,0,0,0
Antonee Robinson,True,False,0,35,0,0,1,8,1910,21,62,53,83,33,23,0,0,3,0
Andreas Pereira,True,False,0,33,0,4,6,8,1068,60,18,6,8,41,31,0,0,61,0
Joao Palhinha,True,False,0,35,0,3,0,14,1274,7,148,46,61,48,50,0,0,39,0
Timothy Castagne,False,False,0,37,0,2,3,3,1836,22,87,43,110,25,15,0,0,19,0
Calvin Bassey,False,False,0,25,0,1,3,0,1559,11,40,23,42,14,25,0,0,7,0
Alex Iwobi,False,False,0,38,0,2,7,2,1536,64,69,25,29,19,15,0,0,42,0
Willian,True,False,0,27,0,5,5,2,912,51,13,9,9,11,24,0,0,41,0
Tosin Adarabioyo,True,False,0,25,0,1,0,4,1300,6,30,26,140,17,5,0,0,16,0
Rodrigo Muniz,False,False,0,0,0,0,0,0,94,5,9,3,11,15,27,0,0,28,0
Raul Jimenez,False,False,0,15,846,0,1,0,198,8,9,0,8,14,14,0,0,20,0
Tim Ream,True,False,0,33,0,1,0,2,1922,3,30,41,116,18,7,0,0,3,0
Bobby Reid,True,False,0,36,0,4,1,8,907,19,42,20,28,34,22,0,0,31,0
Harry Wilson,True,False,0,29,0,2,3,1,404,12,21,6,14,11,32,0,0,18,0
Issa Diop,True,False,0,25,0,1,0,2,1399,2,28,35,86,16,8,0,0,3,0
Virgil van Dijk,True,False,0,32,0,3,1,3,2592,7,27,31,138,13,3,0,0,30,0
Luis Diaz,True,False,0,17,996,4,2,2,462,13,17,6,2,20,24,0,0,27,0
Alexis Mac Allister,False,False,0,35,0,10,2,8,1844,47,70,22,10,35,57,0,0,80,0
Mohamed Salah,True,False,0,38,0,19,12,2,1185,65,21,6,4,20,33,0,0,121,0
Alisson,True,False,105,37,0,0,1,1,1453,1,0,0,20,1,5,0,0,0,0
Trent Alexander Arnold,True,False,0,37,0,2,9,5,2912,71,57,43,41,22,6,0,0,40,0
Dominik Szoboszlai,False,False,0,31,0,6,8,5,1580,70,45,17,27,25,39,0,0,58,0
Darwin Nunez,True,False,0,29,0,9,3,1,401,28,11,3,13,25,17,0,0,84,0
Wataru Endo,False,False,0,33,0,5,4,3,1477,46,70,26,63,40,55,0,0,45,0
Andrew Robertson,True,False,0,34,0,0,8,3,2265,52,38,18,50,22,10,0,0,13,0
Joe Gomez,True,False,0,21,0,0,0,3,1361,1,28,24,51,13,4,0,0,6,0
Cody Gakpo,True,False,0,21,0,7,2,0,392,23,26,4,2,26,33,0,0,39,0
Ibrahima Konate,True,False,0,18,0,0,0,5,1135,1,38,26,61,29,15,0,0,11,0
Curtis Jones,True,False,0,18,0,3,1,2,677,14,34,3,9,13,16,0,0,15,0
Diogo Jota,True,False,0,22,0,7,4,2,381,17,23,3,11,19,15,0,0,35,0
Thomas Kaminski,False,False,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfie Doughty,True,False,0,28,0,2,5,10,1228,54,55,20,37,38,5,0,0,28,0
Carlton Morris,True,False,0,44,0,20,6,11,984,49,24,3,50,66,41,0,0,114,0
Ross Barkley,False,False,0,27,960,4,2,1,497,31,16,8,6,14,15,0,0,38,0
Teden Mengi,False,False,0,5,373,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gabriel Osho,True,False,0,27,0,2,0,5,800,9,34,31,75,25,16,0,0,18,0
Issa Kabore,False,False,0,22,0,1,0,1,567,13,33,12,21,24,19,0,0,8,0
Amarii Bell,True,False,0,44,0,1,1,6,1792,29,78,47,102,56,62,0,0,15,0
Chiedozie Ogbene,False,False,0,39,0,8,4,3,771,30,31,7,22,34,88,0,0,56,0
Tahith Chong,False,False,0,38,0,4,5,4,807,45,52,13,13,18,73,0,0,58,0
Reece Burke,True,False,0,20,0,2,0,3,698,3,22,12,67,18,6,0,0,2,0
Elijah Adebayo,True,False,0,42,0,7,3,8,625,30,28,11,60,64,47,0,0,82,0
Albert Sambi Lokonga,False,False,0,9,536,0,0,2,264,1,13,7,10,7,12,0,0,2,0
Jordan Clark,True,False,0,38,0,2,4,5,1194,41,61,38,48,43,36,0,0,58,0
Andros Townsend,False,False,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodri,True,False,0,36,0,2,6,5,2987,32,67,33,43,47,20,0,0,50,0
Phil Foden,True,False,0,32,0,11,6,1,1111,43,16,5,12,10,29,0,0,46,0
Ederson,True,False,46,35,0,0,1,3,1257,1,3,1,10,1,4,0,0,0,0
Julian Alvarez,True,False,0,31,0,9,0,0,503,18,26,2,6,21,14,0,0,46,0
