game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report,games_szn,minutes_szn,gk_saves_szn,clearances_szn,tackles_szn,assisted_shots_szn,fouled_szn,shots_szn,crosses_szn,shots_on_target_szn,passes_szn,interceptions_szn,fouls_szn,goals_szn,assists_szn,cards_yellow_szn,game_count_szn,games_l5,minutes_l5,gk_saves_l5,clearances_l5,tackles_l5,assisted_shots_l5,fouled_l5,shots_l5,crosses_l5,shots_on_target_l5,passes_l5,interceptions_l5,fouls_l5,goals_l5,assists_l5,cards_yellow_l5,game_count_l5
Y,11,0,90,0,0,0,0,0,1,0,1,18,0,0,0,0,1,Sat,Premier League,Matchweek 11,Home,D 1-1,Everton,Brighton,FW,0.0,0.0,0.0,25.0,0.0,0.1,0.1,0.0,2.0,0.0,15.0,83.3,3.0,9.0,2.0,2.0,2.0,Match Report,0.0,85.6,0.0,0.0,1.7,0.0,0.0,1.8,0.0,1.1,32.4,0.8,0.0,0.3,0.0,0.1,5.5,0.0,83.6,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.2,35.2,1.2,0.0,0.4,0.0,0.0,8.0
Y,12,0,90,0,0,1,0,0,1,0,1,24,0,0,1,0,1,Sat,Premier League,Matchweek 12,Away,W 3-2,Everton,Crystal Palace,FW,0.0,0.0,0.0,37.0,1.0,0.7,0.7,0.1,2.0,2.0,20.0,83.3,3.0,20.0,1.0,1.0,0.0,Match Report,0.0,86.0,0.0,0.0,1.5454545454545454,0.0,0.0,1.7272727272727273,0.0,1.0909090909090908,31.09090909090909,0.7272727272727273,0.0,0.2727272727272727,0.0,0.18181818181818182,6.0,0.0,83.6,0.0,0.0,1.0,0.0,0.0,1.8,0.0,1.2,29.4,1.0,0.0,0.2,0.0,0.2,9.0
Y,13,0,89,0,0,1,0,0,2,0,0,23,0,0,0,0,1,Sun,Premier League,Matchweek 13,Home,L 0-3,Everton,Manchester Utd,FW,0.0,0.0,0.0,30.0,1.0,0.2,0.2,0.3,4.0,0.0,16.0,69.6,2.0,17.0,1.0,1.0,0.0,Match Report,0.0,86.33333333333333,0.0,0.0,1.5,0.0,0.0,1.6666666666666667,0.0,1.0833333333333333,30.5,0.6666666666666666,0.0,0.3333333333333333,0.0,0.25,6.5,0.0,89.8,0.0,0.0,1.2,0.0,0.0,1.8,0.0,1.2,26.0,1.0,0.0,0.4,0.0,0.4,10.0
Y,14,0,90,0,0,2,0,0,0,0,0,35,0,0,0,0,0,Sat,Premier League,Matchweek 14,Away,W 1-0,Everton,Nott'ham Forest,FW,0.0,0.0,0.0,39.0,1.0,0.0,0.0,0.1,1.0,0.0,19.0,54.3,6.0,17.0,3.0,0.0,0.0,Match Report,0.0,86.53846153846153,0.0,0.0,1.4615384615384615,0.0,0.0,1.6923076923076923,0.0,1.0,29.923076923076923,0.6153846153846154,0.0,0.3076923076923077,0.0,0.3076923076923077,7.0,0.0,89.8,0.0,0.0,1.0,0.0,0.0,1.2,0.0,0.6,22.8,1.0,0.0,0.2,0.0,0.6,11.0
Y,15,0,90,0,0,3,0,0,3,0,1,35,0,0,1,0,0,Thu,Premier League,Matchweek 15,Home,W 3-0,Everton,Newcastle Utd,CM,0.0,0.0,0.0,48.0,0.0,0.5,0.5,0.1,4.0,0.0,30.0,85.7,3.0,21.0,0.0,1.0,0.0,Match Report,0.0,86.78571428571429,0.0,0.0,1.5,0.0,0.0,1.5714285714285714,0.0,0.9285714285714286,30.285714285714285,0.5714285714285714,0.0,0.2857142857142857,0.0,0.2857142857142857,7.5,0.0,89.8,0.0,0.0,1.0,0.0,0.0,1.2,0.0,0.6,25.8,0.2,0.0,0.2,0.0,0.6,12.0
Y,16,0,90,0,0,0,0,0,3,0,1,23,3,0,1,0,0,Sun,Premier League,Matchweek 16,Home,W 2-0,Everton,Chelsea,FW,0.0,0.0,0.0,30.0,0.0,0.2,0.2,0.0,1.0,0.0,15.0,65.2,2.0,18.0,1.0,0.0,0.0,Match Report,0.0,87.0,0.0,0.0,1.6,0.0,0.0,1.6666666666666667,0.0,0.9333333333333333,30.6,0.5333333333333333,0.0,0.3333333333333333,0.0,0.26666666666666666,8.0,0.0,89.8,0.0,0.0,1.4,0.0,0.0,1.4,0.0,0.6,27.0,0.0,0.0,0.4,0.0,0.6,13.0
Y,17,0,45,0,0,0,0,0,0,0,0,12,0,0,0,0,0,Sat,Premier League,Matchweek 17,Away,W 2-0,Everton,Burnley,CM,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,83.3,2.0,9.0,1.0,1.0,1.0,Match Report,0.0,87.1875,0.0,0.0,1.5,0.0,0.0,1.75,0.0,0.9375,30.125,0.6875,0.0,0.375,0.0,0.25,8.5,0.0,89.8,0.0,0.0,1.4,0.0,0.0,1.8,0.0,0.6,28.0,0.6,0.0,0.6,0.0,0.4,14.0
Y,18,0,90,0,0,4,0,0,1,0,0,21,1,0,0,0,0,Sun,Premier League,Matchweek 21,Home,D 0-0,Everton,Aston Villa,AM,0.0,0.0,0.0,30.0,1.0,0.0,0.0,0.1,2.0,0.0,12.0,57.1,2.0,16.0,2.0,0.0,0.0,Match Report,0.0,84.70588235294117,0.0,0.0,1.411764705882353,0.0,0.0,1.6470588235294117,0.0,0.8823529411764706,29.058823529411764,0.6470588235294118,0.0,0.35294117647058826,0.0,0.23529411764705882,9.0,0.0,80.8,0.0,0.0,1.2,0.0,0.0,1.6,0.0,0.4,25.6,0.6,0.0,0.4,0.0,0.2,15.0
Y,19,0,71,0,0,0,0,0,3,0,1,24,0,0,0,0,0,Mon,Premier League,Matchweek 25,Home,D 1-1,Everton,Crystal Palace,FW,0.0,0.0,0.0,33.0,0.0,0.7,0.7,0.0,1.0,0.0,16.0,66.7,5.0,14.0,0.0,1.0,1.0,Match Report,0.0,85.0,0.0,0.0,1.5555555555555556,0.0,0.0,1.6111111111111112,0.0,0.8333333333333334,28.61111111111111,0.6666666666666666,0.0,0.3333333333333333,0.0,0.2222222222222222,9.5,0.0,81.0,0.0,0.0,1.8,0.0,0.0,1.4,0.0,0.4,25.2,0.8,0.0,0.4,0.0,0.0,16.0
Y,20,0,88,0,0,1,0,0,1,0,0,20,1,0,0,0,0,Sat,Premier League,Matchweek 26,Away,D 1-1,Everton,Brighton,FW,0.0,0.0,0.0,29.0,1.0,0.1,0.1,0.1,1.0,0.0,15.0,75.0,1.0,20.0,0.0,0.0,0.0,Match Report,0.0,84.26315789473684,0.0,0.0,1.4736842105263157,0.0,0.0,1.6842105263157894,0.0,0.8421052631578947,28.36842105263158,0.631578947368421,0.0,0.3157894736842105,0.0,0.21052631578947367,10.0,0.0,77.2,0.0,0.0,1.4,0.0,0.0,2.0,0.0,0.6,23.0,0.8,0.0,0.4,0.0,0.0,17.0
